iter	Passed	Remaining
0	6	6044
1	8	4096
2	10	3340
3	11	2954
4	13	2697
5	15	2527
6	16	2406
7	18	2311
8	20	2256
9	22	2258
10	24	2241
11	27	2224
12	28	2176
13	30	2147
14	32	2117
15	33	2090
16	35	2081
17	37	2070
18	39	2056
19	41	2035
20	43	2017
21	44	1995
22	46	1977
23	48	1962
24	50	1956
25	52	1950
26	54	1948
27	55	1943
28	57	1928
29	59	1919
30	61	1910
31	62	1898
32	64	1886
33	66	1876
34	67	1872
35	69	1864
36	71	1857
37	73	1852
38	74	1845
39	76	1844
40	78	1840
41	80	1833
42	82	1830
43	84	1826
44	85	1820
45	87	1816
46	89	1812
47	91	1805
48	92	1801
49	94	1797
50	96	1795
51	98	1796
52	100	1793
53	102	1788
54	103	1784
55	105	1780
56	107	1778
57	109	1773
58	111	1771
59	112	1769
60	114	1767
61	116	1763
62	118	1761
63	120	1757
64	122	1760
65	123	1754
66	125	1750
67	127	1747
68	129	1743
69	130	1740
70	132	1736
71	134	1732
72	136	1731
73	138	1730
74	140	1728
75	141	1726
76	143	1721
77	145	1716
78	146	1711
79	148	1707
80	150	1703
81	151	1701
82	153	1697
83	155	1694
84	157	1690
85	158	1688
86	160	1685
87	162	1681
88	164	1679
89	165	1677
90	167	1674
91	169	1671
92	171	1670
93	173	1670
94	175	1668
95	177	1667
96	178	1665
97	180	1664
98	182	1662
99	184	1659
100	186	1656
101	187	1655
102	189	1653
103	191	1650
104	193	1647
105	194	1644
106	196	1642
107	198	1639
108	200	1639
109	202	1636
110	204	1635
111	205	1632
112	207	1631
113	209	1628
114	211	1625
115	212	1623
116	214	1621
117	216	1618
118	218	1616
119	220	1616
120	222	1614
121	224	1612
122	225	1611
123	227	1608
124	229	1605
125	231	1603
126	233	1601
127	234	1599
128	236	1596
129	238	1594
130	240	1592
131	241	1590
132	243	1588
133	245	1586
134	247	1586
135	249	1585
136	251	1584
137	253	1582
138	255	1581
139	256	1578
140	258	1577
141	260	1575
142	262	1573
143	264	1572
144	266	1570
145	269	1576
146	271	1577
147	274	1577
148	276	1577
149	278	1579
150	280	1576
151	282	1575
152	284	1572
153	286	1571
154	288	1570
155	289	1568
156	291	1565
157	293	1564
158	295	1561
159	297	1559
160	299	1558
161	300	1555
162	302	1554
163	304	1552
164	306	1549
165	308	1547
166	309	1544
167	311	1542
168	313	1539
169	315	1538
170	316	1536
171	318	1534
172	320	1533
173	322	1531
174	324	1529
175	326	1527
176	328	1526
177	330	1524
178	331	1521
179	333	1519
180	335	1517
181	337	1515
182	339	1513
183	340	1512
184	342	1509
185	344	1508
186	346	1506
187	348	1504
188	349	1501
189	351	1500
190	353	1497
191	355	1495
192	357	1493
193	358	1491
194	360	1488
195	362	1487
196	364	1484
197	365	1482
198	367	1480
199	369	1478
200	371	1476
201	373	1474
202	374	1471
203	376	1469
204	378	1467
205	380	1465
206	382	1464
207	383	1461
208	385	1460
209	387	1458
210	389	1456
211	391	1454
212	393	1452
213	394	1450
214	396	1448
215	398	1446
216	400	1444
217	402	1442
218	403	1440
219	405	1438
220	407	1436
221	409	1433
222	410	1431
223	412	1429
224	414	1427
225	416	1426
226	418	1424
227	420	1422
228	421	1420
229	423	1418
230	425	1416
231	427	1414
232	429	1412
233	430	1410
234	432	1408
235	434	1407
236	436	1406
237	438	1404
238	440	1401
239	442	1399
240	443	1397
241	445	1395
242	447	1393
243	449	1392
244	451	1389
245	453	1388
246	454	1386
247	456	1385
248	458	1383
249	460	1381
250	462	1379
251	464	1377
252	465	1375
253	467	1373
254	469	1372
255	471	1370
256	473	1368
257	475	1366
258	476	1363
259	478	1362
260	480	1360
261	482	1358
262	484	1357
263	486	1355
264	487	1352
265	489	1350
266	491	1348
267	493	1346
268	495	1345
269	496	1342
270	498	1341
271	500	1340
272	502	1338
273	504	1337
274	506	1335
275	508	1333
276	510	1331
277	511	1329
278	513	1327
279	515	1325
280	517	1324
281	519	1322
282	521	1320
283	522	1318
284	524	1316
285	526	1314
286	528	1312
287	530	1310
288	531	1308
289	533	1306
290	535	1304
291	537	1302
292	539	1301
293	540	1299
294	542	1297
295	545	1297
296	547	1296
297	549	1294
298	551	1292
299	552	1290
300	554	1288
301	556	1286
302	558	1284
303	560	1282
304	562	1281
305	564	1279
306	565	1277
307	567	1276
308	569	1274
309	571	1272
310	573	1270
311	575	1268
312	577	1266
313	578	1264
314	580	1262
315	582	1260
316	584	1259
317	586	1256
318	587	1254
319	589	1253
320	591	1251
321	593	1249
322	595	1247
323	596	1245
324	598	1243
325	600	1242
326	602	1240
327	604	1238
328	606	1236
329	608	1235
330	610	1233
331	612	1231
332	613	1229
333	615	1227
334	617	1226
335	619	1224
336	621	1222
337	623	1220
338	625	1218
339	627	1217
340	628	1215
341	630	1213
342	632	1211
343	634	1209
344	636	1208
345	638	1205
346	639	1204
347	641	1202
348	643	1200
349	645	1198
350	647	1196
351	648	1194
352	650	1192
353	652	1190
354	654	1188
355	656	1186
356	657	1184
357	659	1183
358	661	1181
359	663	1179
360	665	1177
361	667	1176
362	669	1174
363	671	1172
364	673	1170
365	674	1168
366	676	1166
367	678	1164
368	679	1162
369	681	1161
370	683	1159
371	685	1157
372	687	1155
373	689	1153
374	691	1151
375	693	1150
376	694	1148
377	696	1146
378	699	1145
379	700	1143
380	702	1142
381	704	1140
382	706	1138
383	708	1136
384	710	1134
385	712	1132
386	713	1130
387	715	1129
388	717	1127
389	719	1125
390	721	1123
391	723	1121
392	725	1120
393	726	1118
394	728	1115
395	730	1113
